abbreviation,title,author,URL
LtPwP,Learning to Program with Python,R. L. Halterman,https://python.cs.southern.edu/pythonbook/pythonbook.pdf
AtBSwP,Automate the Boring Stuff with Python,A. Sweigart,
IntroProb,Introduction to Probability,C. M. Grinstead,
MMDS,Mining Massive Datasets,J. Leskovec and A. Rajaraman and J. D. Ullman,http://www.mmds.org/#ver21
AoAiSaE,Art of Approximation in Science and Engineering,S. Mahajan,https://web.mit.edu/6.055/book/book-draft.pdf
,Modeling and Simulation in Python,,https://greenteapress.com/ModSimPy/ModSimPy.pdf
,First Course in Design and Analysis of Experiments,,http://users.stat.umn.edu/~gary/book/fcdae.pdf
,Think Stats,,https://greenteapress.com/thinkstats2/thinkstats2.pdf
