HDR,ROLLING SYSTEM DEMAND
VD,20200207000000,28209
VD,20200207000500,28372
VD,20200207001000,28368
VD,20200207001500,28347
VD,20200207002000,28349
VD,20200207002500,28378
VD,20200207003000,28367
VD,20200207003500,28569
VD,20200207004000,28698
VD,20200207004500,28739
VD,20200207005000,28686
VD,20200207005500,28668
VD,20200207010000,28643
VD,20200207010500,28596
VD,20200207011000,28372
VD,20200207011500,28205
VD,20200207012000,28128
VD,20200207012500,28044
VD,20200207013000,27974
VD,20200207013500,27967
VD,20200207014000,27862
VD,20200207014500,27835
VD,20200207015000,27760
VD,20200207015500,27766
VD,20200207020000,27831
VD,20200207020500,27745
VD,20200207021000,27782
VD,20200207021500,27779
VD,20200207022000,27673
VD,20200207022500,27616
VD,20200207023000,27606
VD,20200207023500,27652
VD,20200207024000,27684
VD,20200207024500,27716
VD,20200207025000,27731
VD,20200207025500,27667
VD,20200207030000,27529
VD,20200207030500,27478
VD,20200207031000,27574
VD,20200207031500,27623
VD,20200207032000,27616
VD,20200207032500,27546
VD,20200207033000,27491
VD,20200207033500,27513
VD,20200207034000,27371
VD,20200207034500,27213
VD,20200207035000,27131
VD,20200207035500,27113
VD,20200207040000,26872
VD,20200207040500,26718
VD,20200207041000,26522
VD,20200207041500,26552
VD,20200207042000,26614
VD,20200207042500,26775
VD,20200207043000,26795
VD,20200207043500,26851
VD,20200207044000,26842
VD,20200207044500,26758
VD,20200207045000,26657
VD,20200207045500,26538
VD,20200207050000,26534
VD,20200207050500,26737
VD,20200207051000,26954
VD,20200207051500,27106
VD,20200207052000,27202
VD,20200207052500,27316
VD,20200207053000,27485
VD,20200207053500,27877
VD,20200207054000,28081
VD,20200207054500,28302
VD,20200207055000,28573
VD,20200207055500,28708
VD,20200207060000,28967
VD,20200207060500,29720
VD,20200207061000,30568
VD,20200207061500,31090
VD,20200207062000,31741
VD,20200207062500,32281
VD,20200207063000,32720
VD,20200207063500,33165
VD,20200207064000,33706
VD,20200207064500,34105
VD,20200207065000,34572
VD,20200207065500,35094
VD,20200207070000,35449
VD,20200207070500,35794
VD,20200207071000,36329
VD,20200207071500,36809
VD,20200207072000,37322
VD,20200207072500,37606
VD,20200207073000,37752
VD,20200207073500,37959
VD,20200207074000,38094
VD,20200207074500,38296
VD,20200207075000,38356
VD,20200207075500,38433
VD,20200207080000,38447
VD,20200207080500,38742
VD,20200207081000,39045
VD,20200207081500,39101
VD,20200207082000,39109
VD,20200207082500,39079
VD,20200207083000,38995
VD,20200207083500,39064
VD,20200207084000,39089
VD,20200207084500,38933
VD,20200207085000,38857
VD,20200207085500,38779
VD,20200207090000,38856
VD,20200207090500,39098
VD,20200207091000,39106
VD,20200207091500,38992
VD,20200207092000,38870
VD,20200207092500,38942
VD,20200207093000,38889
VD,20200207093500,38820
VD,20200207094000,38893
VD,20200207094500,38902
VD,20200207095000,38829
VD,20200207095500,38676
VD,20200207100000,38560
VD,20200207100500,38272
VD,20200207101000,38110
VD,20200207101500,37892
VD,20200207102000,37751
VD,20200207102500,37709
VD,20200207103000,37633
VD,20200207103500,37580
VD,20200207104000,37496
VD,20200207104500,37476
VD,20200207105000,37314
VD,20200207105500,37142
VD,20200207110000,37050
VD,20200207110500,36859
VD,20200207111000,36771
VD,20200207111500,36642
VD,20200207112000,36627
VD,20200207112500,36689
VD,20200207113000,36610
VD,20200207113500,36641
VD,20200207114000,36401
VD,20200207114500,36146
VD,20200207115000,36078
VD,20200207115500,36050
VD,20200207120000,36137
VD,20200207120500,36279
VD,20200207121000,36171
VD,20200207121500,36086
VD,20200207122000,35960
VD,20200207122500,35876
VD,20200207123000,35757
VD,20200207123500,35700
VD,20200207124000,35611
VD,20200207124500,35521
VD,20200207125000,35473
VD,20200207125500,35506
VD,20200207130000,35589
VD,20200207130500,35263
VD,20200207131000,35345
VD,20200207131500,35274
VD,20200207132000,35241
VD,20200207132500,35300
VD,20200207133000,35274
VD,20200207133500,35286
VD,20200207134000,35169
VD,20200207134500,34999
VD,20200207135000,35027
VD,20200207135500,35046
VD,20200207140000,35101
VD,20200207140500,34997
VD,20200207141000,35391
VD,20200207141500,35177
VD,20200207142000,35192
VD,20200207142500,35335
VD,20200207143000,35265
VD,20200207143500,35323
VD,20200207144000,35298
VD,20200207144500,35422
VD,20200207145000,35513
