HDR,ROLLING SYSTEM DEMAND
VD,20200201000000,25283
VD,20200201000500,25636
VD,20200201001000,25744
VD,20200201001500,25733
VD,20200201002000,25606
VD,20200201002500,25547
VD,20200201003000,25611
VD,20200201003500,25829
VD,20200201004000,25805
VD,20200201004500,25799
VD,20200201005000,25893
VD,20200201005500,25820
VD,20200201010000,25769
VD,20200201010500,25905
VD,20200201011000,25929
VD,20200201011500,25835
VD,20200201012000,25851
VD,20200201012500,25766
VD,20200201013000,25660
VD,20200201013500,25637
VD,20200201014000,25569
VD,20200201014500,25504
VD,20200201015000,25449
VD,20200201015500,25390
VD,20200201020000,25308
VD,20200201020500,25271
VD,20200201021000,25163
VD,20200201021500,25293
VD,20200201022000,25303
VD,20200201022500,25221
VD,20200201023000,25220
VD,20200201023500,25221
VD,20200201024000,25210
VD,20200201024500,25164
VD,20200201025000,25074
VD,20200201025500,24952
VD,20200201030000,24839
VD,20200201030500,24963
VD,20200201031000,24730
VD,20200201031500,24524
VD,20200201032000,24587
VD,20200201032500,24460
VD,20200201033000,24386
VD,20200201033500,24366
VD,20200201034000,24261
VD,20200201034500,24171
VD,20200201035000,24029
VD,20200201035500,23876
VD,20200201040000,23977
VD,20200201040500,23892
VD,20200201041000,23848
VD,20200201041500,23704
VD,20200201042000,23614
VD,20200201042500,23562
VD,20200201043000,23545
VD,20200201043500,23603
VD,20200201044000,23553
VD,20200201044500,23597
VD,20200201045000,23637
VD,20200201045500,23692
VD,20200201050000,24027
VD,20200201050500,24534
VD,20200201051000,24766
VD,20200201051500,24835
VD,20200201052000,24691
VD,20200201052500,24610
VD,20200201053000,24622
VD,20200201053500,24733
VD,20200201054000,24825
VD,20200201054500,24923
VD,20200201055000,25024
VD,20200201055500,25115
VD,20200201060000,25216
VD,20200201060500,25169
VD,20200201061000,25215
VD,20200201061500,25158
VD,20200201062000,25186
VD,20200201062500,25169
VD,20200201063000,25038
VD,20200201063500,25136
VD,20200201064000,25312
VD,20200201064500,25462
VD,20200201065000,25535
VD,20200201065500,25304
VD,20200201070000,25139
VD,20200201070500,24973
VD,20200201071000,25500
VD,20200201071500,25952
VD,20200201072000,26107
VD,20200201072500,26200
VD,20200201073000,26231
VD,20200201073500,26250
VD,20200201074000,26544
VD,20200201074500,26695
VD,20200201075000,26760
VD,20200201075500,26974
VD,20200201080000,27117
VD,20200201080500,27707
VD,20200201081000,27997
VD,20200201081500,28299
VD,20200201082000,28601
VD,20200201082500,29039
VD,20200201083000,29078
VD,20200201083500,29225
VD,20200201084000,29530
VD,20200201084500,29657
VD,20200201085000,29688
VD,20200201085500,29694
VD,20200201090000,29544
VD,20200201090500,29651
VD,20200201091000,29665
VD,20200201091500,29628
VD,20200201092000,29748
VD,20200201092500,29735
VD,20200201093000,29726
VD,20200201093500,29739
VD,20200201094000,29643
VD,20200201094500,29527
VD,20200201095000,29501
VD,20200201095500,29408
VD,20200201100000,29446
VD,20200201100500,29530
VD,20200201101000,29606
VD,20200201101500,29572
VD,20200201102000,29395
VD,20200201102500,29348
VD,20200201103000,29223
VD,20200201103500,29036
VD,20200201104000,28670
VD,20200201104500,28583
VD,20200201105000,28483
VD,20200201105500,28516
VD,20200201110000,28516
VD,20200201110500,28538
VD,20200201111000,28485
VD,20200201111500,28504
VD,20200201112000,28517
VD,20200201112500,28595
VD,20200201113000,28557
VD,20200201113500,28580
VD,20200201114000,28712
VD,20200201114500,28674
VD,20200201115000,28727
VD,20200201115500,28751
VD,20200201120000,28808
VD,20200201120500,28368
VD,20200201121000,28320
VD,20200201121500,28360
VD,20200201122000,28338
VD,20200201122500,28317
VD,20200201123000,28380
VD,20200201123500,28463
VD,20200201124000,28441
VD,20200201124500,28365
VD,20200201125000,28411
VD,20200201125500,28427
VD,20200201130000,28355
VD,20200201130500,28390
VD,20200201131000,28333
VD,20200201131500,28411
VD,20200201132000,28502
VD,20200201132500,28570
VD,20200201133000,28533
VD,20200201133500,28419
VD,20200201134000,28300
VD,20200201134500,28264
VD,20200201135000,28087
VD,20200201135500,28001
VD,20200201140000,28029
VD,20200201140500,28411
VD,20200201141000,28520
VD,20200201141500,28619
VD,20200201142000,28606
VD,20200201142500,28678
VD,20200201143000,28573
VD,20200201143500,28595
VD,20200201144000,28666
VD,20200201144500,28745
VD,20200201145000,29019
VD,20200201145500,29119
VD,20200201150000,29192
VD,20200201150500,29511
VD,20200201151000,29709
VD,20200201151500,29833
VD,20200201152000,30108
VD,20200201152500,30137
VD,20200201153000,30212
VD,20200201153500,30440
VD,20200201154000,30487
VD,20200201154500,30651
VD,20200201155000,30913
VD,20200201155500,31262
VD,20200201160000,31434
VD,20200201160500,32090
VD,20200201161000,32206
VD,20200201161500,32455
VD,20200201162000,32886
VD,20200201162500,33228
VD,20200201163000,33344
VD,20200201163500,33551
VD,20200201164000,33959
VD,20200201164500,34268
VD,20200201165000,34574
VD,20200201165500,34894
VD,20200201170000,35216
VD,20200201170500,35686
VD,20200201171000,36351
VD,20200201171500,36735
VD,20200201172000,37174
VD,20200201172500,37631
VD,20200201173000,37762
VD,20200201173500,37883
VD,20200201174000,38091
VD,20200201174500,37990
VD,20200201175000,38019
VD,20200201175500,38103
VD,20200201180000,38089
VD,20200201180500,38079
VD,20200201181000,37880
VD,20200201181500,37744
VD,20200201182000,37608
VD,20200201182500,37576
VD,20200201183000,37400
VD,20200201183500,37451
VD,20200201184000,37384
VD,20200201184500,37370
VD,20200201185000,37368
VD,20200201185500,37214
VD,20200201190000,36944
VD,20200201190500,36661
VD,20200201191000,36737
VD,20200201191500,36644
VD,20200201192000,36246
VD,20200201192500,36201
VD,20200201193000,36197
VD,20200201193500,35991
VD,20200201194000,36006
VD,20200201194500,36019
VD,20200201195000,35811
VD,20200201195500,35535
VD,20200201200000,35225
VD,20200201200500,35246
VD,20200201201000,35227
VD,20200201201500,34969
VD,20200201202000,34707
VD,20200201202500,34613
VD,20200201203000,34407
VD,20200201203500,34272
VD,20200201204000,34071
VD,20200201204500,33794
VD,20200201205000,33541
VD,20200201205500,33405
VD,20200201210000,33299
VD,20200201210500,33134
VD,20200201211000,33006
VD,20200201211500,32828
VD,20200201212000,32477
VD,20200201212500,32351
VD,20200201213000,32315
VD,20200201213500,32200
VD,20200201214000,32051
VD,20200201214500,31882
VD,20200201215000,31742
VD,20200201215500,31452
VD,20200201220000,31188
VD,20200201220500,30680
VD,20200201221000,30410
VD,20200201221500,30204
VD,20200201222000,30063
VD,20200201222500,29881
VD,20200201223000,29725
VD,20200201223500,29737
VD,20200201224000,29500
VD,20200201224500,29300
VD,20200201225000,29042
VD,20200201225500,28640
VD,20200201230000,28292
VD,20200201230500,28130
VD,20200201231000,28133
VD,20200201231500,27925
VD,20200201232000,27588
VD,20200201232500,27332
VD,20200201233000,27156
VD,20200201233500,26998
VD,20200201234000,26956
VD,20200201234500,26851
VD,20200201235000,26755
VD,20200201235500,26593
VD,20200202000000,26433
VD,20200202000500,26501
VD,20200202001000,26490
VD,20200202001500,26419
VD,20200202002000,26297
VD,20200202002500,26221
VD,20200202003000,26142
VD,20200202003500,26301
VD,20200202004000,26496
VD,20200202004500,26520
VD,20200202005000,26547
VD,20200202005500,26468
VD,20200202010000,26453
VD,20200202010500,26247
VD,20200202011000,26230
VD,20200202011500,26139
VD,20200202012000,26130
VD,20200202012500,26016
VD,20200202013000,25998
VD,20200202013500,26009
VD,20200202014000,25970
VD,20200202014500,25752
VD,20200202015000,25556
VD,20200202015500,25390
VD,20200202020000,25252
VD,20200202020500,25161
VD,20200202021000,25093
VD,20200202021500,24954
VD,20200202022000,24953
VD,20200202022500,24938
VD,20200202023000,24854
VD,20200202023500,24778
VD,20200202024000,24738
VD,20200202024500,24733
VD,20200202025000,24654
VD,20200202025500,24565
VD,20200202030000,24410
VD,20200202030500,24207
VD,20200202031000,24116
VD,20200202031500,24064
VD,20200202032000,24005
VD,20200202032500,23993
VD,20200202033000,23941
VD,20200202033500,23844
VD,20200202034000,23766
VD,20200202034500,23710
VD,20200202035000,23673
VD,20200202035500,23642
VD,20200202040000,23621
VD,20200202040500,23641
VD,20200202041000,23617
VD,20200202041500,23554
VD,20200202042000,23482
VD,20200202042500,23468
VD,20200202043000,23456
VD,20200202043500,23514
VD,20200202044000,23492
VD,20200202044500,23500
VD,20200202045000,23569
VD,20200202045500,23580
VD,20200202050000,23440
VD,20200202050500,23468
VD,20200202051000,23484
