HDR,ROLLING SYSTEM DEMAND
VD,20200214000000,29844
VD,20200214000500,29761
VD,20200214001000,29723
VD,20200214001500,29656
VD,20200214002000,29575
VD,20200214002500,29499
VD,20200214003000,29423
VD,20200214003500,29660
VD,20200214004000,29742
VD,20200214004500,29571
VD,20200214005000,29406
VD,20200214005500,29234
VD,20200214010000,29103
VD,20200214010500,29086
VD,20200214011000,29056
VD,20200214011500,28883
VD,20200214012000,28841
VD,20200214012500,28779
VD,20200214013000,28721
VD,20200214013500,28718
VD,20200214014000,28606
VD,20200214014500,28260
VD,20200214015000,28101
VD,20200214015500,28037
VD,20200214020000,27974
VD,20200214020500,27917
VD,20200214021000,27943
VD,20200214021500,27907
VD,20200214022000,27859
VD,20200214022500,27873
VD,20200214023000,27934
VD,20200214023500,27940
VD,20200214024000,28019
VD,20200214024500,28075
VD,20200214025000,28074
VD,20200214025500,28099
VD,20200214030000,28036
VD,20200214030500,27710
VD,20200214031000,27781
VD,20200214031500,27865
VD,20200214032000,27710
VD,20200214032500,27428
VD,20200214033000,27411
VD,20200214033500,27552
VD,20200214034000,27664
VD,20200214034500,27744
VD,20200214035000,27930
VD,20200214035500,27994
VD,20200214040000,27806
VD,20200214040500,27537
VD,20200214041000,27555
VD,20200214041500,27512
VD,20200214042000,27228
VD,20200214042500,27242
VD,20200214043000,27469
VD,20200214043500,27664
VD,20200214044000,27699
VD,20200214044500,27671
VD,20200214045000,27720
VD,20200214045500,27829
VD,20200214050000,28071
VD,20200214050500,28708
VD,20200214051000,28910
VD,20200214051500,28907
VD,20200214052000,28781
VD,20200214052500,28808
VD,20200214053000,28945
VD,20200214053500,29069
VD,20200214054000,29230
VD,20200214054500,29464
VD,20200214055000,29697
VD,20200214055500,30204
VD,20200214060000,30492
VD,20200214060500,30632
VD,20200214061000,31328
VD,20200214061500,31605
VD,20200214062000,31968
VD,20200214062500,32244
VD,20200214063000,32637
VD,20200214063500,32977
VD,20200214064000,33587
VD,20200214064500,34019
VD,20200214065000,34412
VD,20200214065500,34753
VD,20200214070000,35133
VD,20200214070500,35460
VD,20200214071000,36030
VD,20200214071500,36432
VD,20200214072000,36671
VD,20200214072500,36845
VD,20200214073000,37024
VD,20200214073500,37104
VD,20200214074000,37313
VD,20200214074500,37421
VD,20200214075000,37421
VD,20200214075500,37510
VD,20200214080000,37882
VD,20200214080500,37765
VD,20200214081000,38098
VD,20200214081500,38253
VD,20200214082000,38245
VD,20200214082500,38168
VD,20200214083000,38181
VD,20200214083500,38132
VD,20200214084000,38199
VD,20200214084500,38215
VD,20200214085000,38264
VD,20200214085500,38335
VD,20200214090000,38076
VD,20200214090500,38967
VD,20200214091000,39275
VD,20200214091500,39262
VD,20200214092000,39225
VD,20200214092500,39150
VD,20200214093000,39041
VD,20200214093500,39061
VD,20200214094000,38995
VD,20200214094500,38906
VD,20200214095000,38857
VD,20200214095500,38825
VD,20200214100000,38921
VD,20200214100500,39222
VD,20200214101000,39549
VD,20200214101500,39405
VD,20200214102000,39376
VD,20200214102500,39309
VD,20200214103000,39311
VD,20200214103500,39363
VD,20200214104000,39287
VD,20200214104500,39197
VD,20200214105000,39023
VD,20200214105500,38829
VD,20200214110000,38676
VD,20200214110500,38342
VD,20200214111000,38126
VD,20200214111500,38052
VD,20200214112000,38024
VD,20200214112500,38093
VD,20200214113000,37865
VD,20200214113500,37784
VD,20200214114000,37687
VD,20200214114500,37678
VD,20200214115000,37614
VD,20200214115500,37528
VD,20200214120000,37463
VD,20200214120500,37577
VD,20200214121000,37573
VD,20200214121500,37693
VD,20200214122000,37722
VD,20200214122500,37658
VD,20200214123000,37610
VD,20200214123500,37644
VD,20200214124000,37644
VD,20200214124500,37551
VD,20200214125000,37521
VD,20200214125500,37424
VD,20200214130000,37459
VD,20200214130500,37670
VD,20200214131000,37768
VD,20200214131500,37710
VD,20200214132000,37720
VD,20200214132500,37682
VD,20200214133000,37622
VD,20200214133500,37619
VD,20200214134000,37506
VD,20200214134500,37509
VD,20200214135000,37443
VD,20200214135500,37427
VD,20200214140000,37413
VD,20200214140500,37748
VD,20200214141000,37891
VD,20200214141500,37930
VD,20200214142000,37818
VD,20200214142500,37804
VD,20200214143000,37887
VD,20200214143500,37903
VD,20200214144000,37885
VD,20200214144500,37871
VD,20200214145000,37871
VD,20200214145500,37812
VD,20200214150000,37767
VD,20200214150500,37710
VD,20200214151000,37551
VD,20200214151500,37835
VD,20200214152000,38013
VD,20200214152500,38038
VD,20200214153000,38036
VD,20200214153500,38138
VD,20200214154000,38224
VD,20200214154500,38423
VD,20200214155000,38572
VD,20200214155500,38654
VD,20200214160000,38820
VD,20200214160500,39113
VD,20200214161000,39301
VD,20200214161500,39368
VD,20200214162000,39554
VD,20200214162500,39785
VD,20200214163000,39872
VD,20200214163500,40099
VD,20200214164000,40314
VD,20200214164500,40579
VD,20200214165000,40786
VD,20200214165500,40643
VD,20200214170000,40467
VD,20200214170500,40500
VD,20200214171000,40726
VD,20200214171500,40951
VD,20200214172000,41274
VD,20200214172500,41861
VD,20200214173000,42228
VD,20200214173500,42362
VD,20200214174000,42413
VD,20200214174500,42419
