HDR,ROLLING SYSTEM DEMAND
VD,20200308000000,23316
VD,20200308000500,23654
VD,20200308001000,23838
VD,20200308001500,23986
VD,20200308002000,24105
VD,20200308002500,24130
VD,20200308003000,24106
VD,20200308003500,24283
VD,20200308004000,24351
VD,20200308004500,24358
VD,20200308005000,24325
VD,20200308005500,24280
VD,20200308010000,24368
VD,20200308010500,24665
VD,20200308011000,24697
VD,20200308011500,24792
VD,20200308012000,24868
VD,20200308012500,24845
VD,20200308013000,24790
VD,20200308013500,24759
VD,20200308014000,24669
VD,20200308014500,24583
VD,20200308015000,24505
VD,20200308015500,24435
VD,20200308020000,24328
VD,20200308020500,24335
VD,20200308021000,24382
VD,20200308021500,24348
VD,20200308022000,24314
VD,20200308022500,24259
VD,20200308023000,24215
VD,20200308023500,24284
VD,20200308024000,24239
VD,20200308024500,24156
VD,20200308025000,24135
VD,20200308025500,24106
VD,20200308030000,23978
VD,20200308030500,23695
VD,20200308031000,23576
VD,20200308031500,23525
VD,20200308032000,23465
VD,20200308032500,23419
VD,20200308033000,23326
VD,20200308033500,23195
VD,20200308034000,23080
VD,20200308034500,23046
VD,20200308035000,23020
VD,20200308035500,23073
VD,20200308040000,23122
VD,20200308040500,23201
VD,20200308041000,23251
VD,20200308041500,23242
VD,20200308042000,23249
VD,20200308042500,23279
VD,20200308043000,23259
VD,20200308043500,23284
VD,20200308044000,23275
VD,20200308044500,23216
VD,20200308045000,23238
VD,20200308045500,23292
VD,20200308050000,23266
VD,20200308050500,23046
VD,20200308051000,22984
VD,20200308051500,23053
VD,20200308052000,23011
VD,20200308052500,23030
VD,20200308053000,23037
VD,20200308053500,23112
VD,20200308054000,23060
VD,20200308054500,22982
VD,20200308055000,23041
VD,20200308055500,23043
VD,20200308060000,23129
VD,20200308060500,23580
VD,20200308061000,23751
VD,20200308061500,23733
VD,20200308062000,23728
VD,20200308062500,23792
VD,20200308063000,23810
VD,20200308063500,23791
VD,20200308064000,23793
VD,20200308064500,23798
VD,20200308065000,23893
VD,20200308065500,23985
VD,20200308070000,24130
VD,20200308070500,24498
VD,20200308071000,24498
VD,20200308071500,24495
VD,20200308072000,24453
VD,20200308072500,24306
VD,20200308073000,24273
VD,20200308073500,24327
VD,20200308074000,24544
VD,20200308074500,24557
VD,20200308075000,24557
VD,20200308075500,24545
VD,20200308080000,24549
VD,20200308080500,24523
VD,20200308081000,24637
VD,20200308081500,24623
VD,20200308082000,24700
VD,20200308082500,24838
VD,20200308083000,25009
VD,20200308083500,25107
VD,20200308084000,25220
VD,20200308084500,25455
VD,20200308085000,25584
VD,20200308085500,25681
VD,20200308090000,25672
VD,20200308090500,25891
VD,20200308091000,26146
VD,20200308091500,26049
VD,20200308092000,26075
VD,20200308092500,26138
VD,20200308093000,26238
VD,20200308093500,26234
VD,20200308094000,26288
VD,20200308094500,26326
VD,20200308095000,26326
VD,20200308095500,26350
VD,20200308100000,26398
VD,20200308100500,26531
VD,20200308101000,26765
VD,20200308101500,26931
VD,20200308102000,26992
VD,20200308102500,27072
VD,20200308103000,27158
VD,20200308103500,27263
VD,20200308104000,27301
VD,20200308104500,27311
VD,20200308105000,27228
VD,20200308105500,27225
VD,20200308110000,27173
VD,20200308110500,27353
VD,20200308111000,27367
VD,20200308111500,27360
VD,20200308112000,27488
VD,20200308112500,27640
VD,20200308113000,27752
VD,20200308113500,27805
VD,20200308114000,27782
VD,20200308114500,27722
VD,20200308115000,27669
VD,20200308115500,27644
VD,20200308120000,27750
VD,20200308120500,27803
VD,20200308121000,27841
VD,20200308121500,27942
VD,20200308122000,27984
VD,20200308122500,28028
VD,20200308123000,28073
VD,20200308123500,28064
VD,20200308124000,28055
VD,20200308124500,27932
VD,20200308125000,27931
VD,20200308125500,27899
VD,20200308130000,27843
VD,20200308130500,27820
VD,20200308131000,27885
VD,20200308131500,27864
VD,20200308132000,27947
VD,20200308132500,27919
VD,20200308133000,27906
VD,20200308133500,27912
VD,20200308134000,27897
VD,20200308134500,27756
VD,20200308135000,27645
VD,20200308135500,27618
VD,20200308140000,27551
VD,20200308140500,27746
VD,20200308141000,27808
VD,20200308141500,27823
VD,20200308142000,27767
VD,20200308142500,27607
VD,20200308143000,27545
VD,20200308143500,27609
VD,20200308144000,27475
VD,20200308144500,27568
VD,20200308145000,27758
VD,20200308145500,27885
VD,20200308150000,28077
VD,20200308150500,28455
VD,20200308151000,28461
VD,20200308151500,28471
VD,20200308152000,28656
VD,20200308152500,28857
VD,20200308153000,28903
VD,20200308153500,29031
VD,20200308154000,29260
VD,20200308154500,29373
VD,20200308155000,29442
VD,20200308155500,29921
VD,20200308160000,30393
VD,20200308160500,30718
VD,20200308161000,30858
VD,20200308161500,30987
VD,20200308162000,31218
VD,20200308162500,31614
VD,20200308163000,31835
VD,20200308163500,32130
VD,20200308164000,32616
VD,20200308164500,32872
VD,20200308165000,32951
VD,20200308165500,33053
VD,20200308170000,33273
VD,20200308170500,33898
VD,20200308171000,34034
VD,20200308171500,34151
VD,20200308172000,34818
VD,20200308172500,35249
VD,20200308173000,35629
VD,20200308173500,35752
VD,20200308174000,35880
VD,20200308174500,35957
VD,20200308175000,36170
VD,20200308175500,36238
VD,20200308180000,36323
VD,20200308180500,36457
VD,20200308181000,36579
VD,20200308181500,36857
VD,20200308182000,37140
VD,20200308182500,37315
VD,20200308183000,37367
VD,20200308183500,37852
VD,20200308184000,37947
VD,20200308184500,37790
VD,20200308185000,37703
VD,20200308185500,37575
VD,20200308190000,37377
VD,20200308190500,37472
VD,20200308191000,37490
VD,20200308191500,37361
VD,20200308192000,37273
VD,20200308192500,37020
VD,20200308193000,36771
VD,20200308193500,36357
VD,20200308194000,36100
VD,20200308194500,35760
VD,20200308195000,35537
VD,20200308195500,35382
VD,20200308200000,35188
VD,20200308200500,35279
VD,20200308201000,35264
VD,20200308201500,35084
VD,20200308202000,34879
VD,20200308202500,34661
VD,20200308203000,34425
VD,20200308203500,34307
VD,20200308204000,34137
VD,20200308204500,33895
VD,20200308205000,33563
VD,20200308205500,33391
VD,20200308210000,33377
VD,20200308210500,33126
VD,20200308211000,32735
VD,20200308211500,32364
VD,20200308212000,32144
VD,20200308212500,32068
VD,20200308213000,31762
VD,20200308213500,31428
VD,20200308214000,31104
VD,20200308214500,30772
VD,20200308215000,30336
VD,20200308215500,30177
VD,20200308220000,30016
VD,20200308220500,29754
VD,20200308221000,29512
VD,20200308221500,29136
VD,20200308222000,28785
VD,20200308222500,28511
VD,20200308223000,28286
VD,20200308223500,28145
VD,20200308224000,27925
VD,20200308224500,27645
VD,20200308225000,27307
VD,20200308225500,26936
VD,20200308230000,26664
VD,20200308230500,26404
VD,20200308231000,26199
VD,20200308231500,25826
VD,20200308232000,25575
VD,20200308232500,25324
VD,20200308233000,24994
VD,20200308233500,24836
VD,20200308234000,24726
VD,20200308234500,24662
VD,20200308235000,24546
VD,20200308235500,24297
VD,20200309000000,24226
VD,20200309000500,24467
VD,20200309001000,24562
VD,20200309001500,24579
VD,20200309002000,24466
VD,20200309002500,24457
VD,20200309003000,24422
VD,20200309003500,24711
VD,20200309004000,24911
VD,20200309004500,25058
VD,20200309005000,25140
VD,20200309005500,25124
VD,20200309010000,25006
VD,20200309010500,24964
VD,20200309011000,24954
VD,20200309011500,24884
VD,20200309012000,24866
VD,20200309012500,24778
VD,20200309013000,24629
VD,20200309013500,24549
VD,20200309014000,24425
VD,20200309014500,24330
VD,20200309015000,24268
VD,20200309015500,24094
VD,20200309020000,24127
VD,20200309020500,24311
VD,20200309021000,24343
VD,20200309021500,24335
VD,20200309022000,24303
VD,20200309022500,24240
VD,20200309023000,24275
VD,20200309023500,24185
VD,20200309024000,24167
VD,20200309024500,24191
VD,20200309025000,24205
VD,20200309025500,24108
VD,20200309030000,24023
VD,20200309030500,23961
VD,20200309031000,23943
VD,20200309031500,23872
VD,20200309032000,23823
VD,20200309032500,23697
VD,20200309033000,23604
VD,20200309033500,23561
VD,20200309034000,23621
VD,20200309034500,23711
VD,20200309035000,23721
VD,20200309035500,23684
VD,20200309040000,23628
VD,20200309040500,23424
VD,20200309041000,23500
VD,20200309041500,23489
VD,20200309042000,23429
VD,20200309042500,23440
VD,20200309043000,23427
VD,20200309043500,23501
VD,20200309044000,23378
VD,20200309044500,23277
VD,20200309045000,23361
VD,20200309045500,23324
VD,20200309050000,23438
VD,20200309050500,23564
VD,20200309051000,23800
VD,20200309051500,23947
VD,20200309052000,24061
VD,20200309052500,24265
VD,20200309053000,24580
VD,20200309053500,24911
VD,20200309054000,25207
VD,20200309054500,25516
VD,20200309055000,25893
VD,20200309055500,26305
VD,20200309060000,26720
VD,20200309060500,27538
VD,20200309061000,28357
VD,20200309061500,28888
VD,20200309062000,29215
VD,20200309062500,29545
VD,20200309063000,29912
VD,20200309063500,30412
VD,20200309064000,30888
VD,20200309064500,31435
VD,20200309065000,32006
VD,20200309065500,32546
VD,20200309070000,32957
VD,20200309070500,33217
VD,20200309071000,33864
VD,20200309071500,34309
VD,20200309072000,34532
VD,20200309072500,34766
VD,20200309073000,35055
VD,20200309073500,34884
VD,20200309074000,35163
VD,20200309074500,35193
VD,20200309075000,35332
VD,20200309075500,35591
VD,20200309080000,35698
VD,20200309080500,35935
VD,20200309081000,35917
VD,20200309081500,35966
VD,20200309082000,35905
VD,20200309082500,35947
VD,20200309083000,36020
VD,20200309083500,36095
VD,20200309084000,36007
VD,20200309084500,35942
VD,20200309085000,35833
VD,20200309085500,35749
VD,20200309090000,35817
VD,20200309090500,35944
VD,20200309091000,35781
VD,20200309091500,35769
VD,20200309092000,35795
VD,20200309092500,35823
VD,20200309093000,35676
VD,20200309093500,35641
VD,20200309094000,35738
VD,20200309094500,35790
VD,20200309095000,35759
VD,20200309095500,35744
VD,20200309100000,35377
VD,20200309100500,35070
VD,20200309101000,34913
VD,20200309101500,34857
VD,20200309102000,34744
VD,20200309102500,34749
VD,20200309103000,34673
VD,20200309103500,34605
VD,20200309104000,34475
VD,20200309104500,34517
VD,20200309105000,34486
VD,20200309105500,34642
VD,20200309110000,34687
VD,20200309110500,34865
VD,20200309111000,35101
VD,20200309111500,35133
VD,20200309112000,35212
VD,20200309112500,35235
VD,20200309113000,35257
VD,20200309113500,35330
VD,20200309114000,35330
VD,20200309114500,35395
VD,20200309115000,35419
VD,20200309115500,35656
VD,20200309120000,35660
VD,20200309120500,35939
VD,20200309121000,35876
VD,20200309121500,35960
VD,20200309122000,36084
VD,20200309122500,36147
VD,20200309123000,36227
VD,20200309123500,36346
VD,20200309124000,36368
VD,20200309124500,36394
VD,20200309125000,36345
VD,20200309125500,36137
VD,20200309130000,36037
VD,20200309130500,36335
VD,20200309131000,36263
VD,20200309131500,36309
VD,20200309132000,36409
VD,20200309132500,36586
VD,20200309133000,36736
VD,20200309133500,36620
VD,20200309134000,36436
VD,20200309134500,36496
VD,20200309135000,36649
VD,20200309135500,36755
VD,20200309140000,36806
VD,20200309140500,36991
VD,20200309141000,37015
VD,20200309141500,37001
VD,20200309142000,36872
VD,20200309142500,36880
VD,20200309143000,36925
VD,20200309143500,37128
VD,20200309144000,37223
VD,20200309144500,37085
VD,20200309145000,36955
VD,20200309145500,36983
VD,20200309150000,37094
VD,20200309150500,37118
VD,20200309151000,37168
VD,20200309151500,37312
VD,20200309152000,37525
VD,20200309152500,37684
VD,20200309153000,37711
VD,20200309153500,37799
VD,20200309154000,37956
VD,20200309154500,38152
VD,20200309155000,38461
VD,20200309155500,38780
VD,20200309160000,39007
VD,20200309160500,39070
VD,20200309161000,39380
VD,20200309161500,39558
VD,20200309162000,39617
VD,20200309162500,39640
VD,20200309163000,39926
VD,20200309163500,40317
VD,20200309164000,40286
VD,20200309164500,40413
VD,20200309165000,40570
VD,20200309165500,40866
VD,20200309170000,40754
VD,20200309170500,40740
VD,20200309171000,41480
VD,20200309171500,41719
VD,20200309172000,41834
VD,20200309172500,42057
VD,20200309173000,42148
VD,20200309173500,42204
VD,20200309174000,42220
VD,20200309174500,42210
VD,20200309175000,42382
VD,20200309175500,42406
VD,20200309180000,42149
VD,20200309180500,41853
VD,20200309181000,41847
VD,20200309181500,41709
VD,20200309182000,41805
VD,20200309182500,41798
VD,20200309183000,41703
VD,20200309183500,41796
VD,20200309184000,41718
VD,20200309184500,41627
VD,20200309185000,41501
VD,20200309185500,41238
VD,20200309190000,40933
VD,20200309190500,40973
VD,20200309191000,41126
VD,20200309191500,40783
VD,20200309192000,40514
VD,20200309192500,40303
VD,20200309193000,40084
VD,20200309193500,40077
VD,20200309194000,39787
VD,20200309194500,39370
VD,20200309195000,39156
VD,20200309195500,38867
VD,20200309200000,38616
VD,20200309200500,38685
VD,20200309201000,38538
VD,20200309201500,38187
VD,20200309202000,37756
VD,20200309202500,37441
VD,20200309203000,37205
VD,20200309203500,36996
VD,20200309204000,36679
VD,20200309204500,36307
VD,20200309205000,36001
VD,20200309205500,35682
VD,20200309210000,35367
VD,20200309210500,34741
VD,20200309211000,34407
VD,20200309211500,34009
VD,20200309212000,33676
VD,20200309212500,33336
VD,20200309213000,33069
VD,20200309213500,32666
VD,20200309214000,32384
VD,20200309214500,32123
VD,20200309215000,31765
VD,20200309215500,31165
VD,20200309220000,30801
VD,20200309220500,30168
VD,20200309221000,29881
VD,20200309221500,29649
VD,20200309222000,29394
VD,20200309222500,29016
VD,20200309223000,28758
VD,20200309223500,28551
VD,20200309224000,28268
VD,20200309224500,28026
VD,20200309225000,27709
VD,20200309225500,27327
VD,20200309230000,26938
VD,20200309230500,26262
VD,20200309231000,26172
VD,20200309231500,26083
VD,20200309232000,25777
VD,20200309232500,25476
VD,20200309233000,25309
VD,20200309233500,25311
VD,20200309234000,25252
VD,20200309234500,25132
VD,20200309235000,25131
VD,20200309235500,25071
VD,20200310000000,25004
VD,20200310000500,25340
VD,20200310001000,25407
VD,20200310001500,25422
VD,20200310002000,25401
VD,20200310002500,25391
VD,20200310003000,25366
VD,20200310003500,25634
VD,20200310004000,25622
VD,20200310004500,25661
VD,20200310005000,25647
VD,20200310005500,25617
VD,20200310010000,25727
VD,20200310010500,25822
VD,20200310011000,25874
VD,20200310011500,25914
VD,20200310012000,25790
VD,20200310012500,25605
VD,20200310013000,25432
VD,20200310013500,25376
VD,20200310014000,25228
VD,20200310014500,25185
VD,20200310015000,25184
VD,20200310015500,25155
VD,20200310020000,25148
VD,20200310020500,25273
VD,20200310021000,25221
VD,20200310021500,25065
VD,20200310022000,24943
VD,20200310022500,24892
VD,20200310023000,24889
VD,20200310023500,24968
VD,20200310024000,24965
VD,20200310024500,24927
VD,20200310025000,24832
VD,20200310025500,24780
VD,20200310030000,24709
VD,20200310030500,24808
VD,20200310031000,24767
VD,20200310031500,24799
VD,20200310032000,24860
